Trial_ID,Study_Name,Phase,Therapeutic_Area,Principal_Investigator,Institution,Start_Date,End_Date,Status,Enrollment_Target,Actual_Enrollment,Completion_Rate,Primary_Endpoint,Secondary_Endpoint,Adverse_Events,Serious_Adverse_Events,Protocol_Deviations,Data_Quality_Score,Regulatory_Submission_Date,Approval_Status,Estimated_Revenue_Impact_M_LEI,Development_Cost_M_LEI
CT-2024-001,NovoVax-001,Phase 3,Oncology,Dr. Maria Popescu,Spitalul Universitar de Urgență București,2024-01-15,2025-06-30,Recruiting,1200,856,71.3%,Overall Survival,Progression-Free Survival,127,23,15,94.2%,2025-08-15,Pending,2250000,625000
CT-2024-002,ImmunoMax-002,Phase 2,Immunology,Dr. Ion Ionescu,Spitalul Clinic Județean Timișoara,2024-03-01,2024-12-31,Active,300,298,99.3%,Response Rate,Quality of Life,89,12,8,96.8%,2025-02-28,Under Review,900000,425000
CT-2024-003,CardioVent-003,Phase 1,Cardiovascular,Dr. Elena Dumitrescu,Institutul de Boli Cardiovasculare Cluj-Napoca,2024-02-10,2024-08-15,Completed,50,48,96.0%,Safety Profile,Pharmacokinetics,34,5,3,92.1%,2024-10-01,Approved,375000,225000
CT-2024-004,NeuroTech-004,Phase 3,Neurology,Dr. Alexandru Vasilescu,Spitalul Universitar de Urgență Iași,2024-04-20,2025-10-31,Recruiting,800,423,52.9%,Cognitive Function,ADL Scores,156,31,22,88.7%,2026-01-15,Pending,1600000,475000
CT-2024-005,EndoCare-005,Phase 2,Endocrinology,Dr. Cristina Munteanu,Spitalul Clinic Județean Constanța,2024-01-30,2024-11-30,Active,200,187,93.5%,HbA1c Reduction,Weight Loss,67,9,6,95.3%,2025-03-15,Under Review,600000,300000
CT-2024-006,OncoTarget-006,Phase 1,Oncology,Dr. Radu Marin,Institutul Oncologic Prof. Dr. Ion Chiricuță Cluj-Napoca,2024-05-15,2024-12-31,Recruiting,75,42,56.0%,Dose Limiting Toxicity,Response Rate,28,7,4,89.4%,2025-06-01,Pending,450000,275000
CT-2024-007,RespiraMax-007,Phase 3,Respiratory,Dr. Ana Stoica,Spitalul de Pneumoftiziologie Marius Nasta București,2024-03-15,2025-09-30,Active,600,512,85.3%,FEV1 Improvement,Exacerbation Rate,134,19,11,93.6%,2025-11-30,Pending,1200000,550000
CT-2024-008,PsychoMed-008,Phase 2,Psychiatry,Dr. Mihai Dobre,Spitalul Clinic de Psihiatrie Prof. Dr. Alexandru Obregia București,2024-02-01,2024-10-31,Completed,150,148,98.7%,Depression Score,Anxiety Score,45,6,5,97.2%,2024-12-15,Approved,450000,250000
CT-2024-009,GastroHeal-009,Phase 1,Gastroenterology,Dr. Laura Georgescu,Spitalul Clinic Județean Brașov,2024-06-01,2024-12-31,Recruiting,40,28,70.0%,Safety Assessment,Bioavailability,22,3,2,91.8%,2025-04-01,Pending,300000,175000
CT-2024-010,DermaCure-010,Phase 3,Dermatology,Dr. Victor Lupu,Spitalul Clinic Județean Sibiu,2024-04-01,2025-08-31,Active,400,356,89.0%,PASI Score,Quality of Life,98,14,9,94.5%,2025-10-15,Pending,800000,400000 