Product_ID,Product_Name,ANM_Registration_Number,Registration_Date,Expiry_Date,Status,Manufacturing_License,Quality_Certificate,Clinical_Trial_Data,Safety_Reports,Compliance_Score,Last_Audit_Date,Next_Audit_Date,Regulatory_Officer
PH001,Cardiovit Plus,ANM-2023-001234,2023-03-15,2028-03-15,Active,ML-RO-2023-001,QC-2023-001,CT-2022-001,SR-2024-001,95,2024-01-10,2024-07-10,Dr. Elena Popescu
PH002,NeuroCalm,ANM-2023-001235,2023-04-20,2028-04-20,Active,ML-RO-2023-002,QC-2023-002,CT-2022-002,SR-2024-002,92,2024-01-15,2024-07-15,Dr. Elena Popescu
PH003,DiabetCare,ANM-2023-001236,2023-05-10,2028-05-10,Active,ML-RO-2023-003,QC-2023-003,CT-2022-003,SR-2024-003,88,2024-01-20,2024-07-20,Dr. Elena Popescu
PH004,RespirMax,ANM-2023-001237,2023-06-05,2028-06-05,Active,ML-RO-2023-004,QC-2023-004,CT-2022-004,SR-2024-004,90,2024-01-25,2024-07-25,Dr. Elena Popescu
PH005,OncoTreat,ANM-2023-001238,2023-07-12,2028-07-12,Active,ML-RO-2023-005,QC-2023-005,CT-2022-005,SR-2024-005,96,2024-01-30,2024-07-30,Dr. Elena Popescu
PH006,VitaminC Plus,ANM-2023-001239,2023-08-18,2028-08-18,Active,ML-RO-2023-006,QC-2023-006,CT-2022-006,SR-2024-006,85,2024-02-05,2024-08-05,Dr. Elena Popescu
PH007,PainRelief,ANM-2023-001240,2023-09-22,2028-09-22,Active,ML-RO-2023-007,QC-2023-007,CT-2022-007,SR-2024-007,87,2024-02-10,2024-08-10,Dr. Elena Popescu
PH008,AllergyStop,ANM-2023-001241,2023-10-15,2028-10-15,Active,ML-RO-2023-008,QC-2023-008,CT-2022-008,SR-2024-008,89,2024-02-15,2024-08-15,Dr. Elena Popescu
PH009,HeartGuard,ANM-2023-001242,2023-11-08,2028-11-08,Active,ML-RO-2023-009,QC-2023-009,CT-2022-009,SR-2024-009,93,2024-02-20,2024-08-20,Dr. Elena Popescu
PH010,BloodPressure Control,ANM-2023-001243,2023-12-03,2028-12-03,Active,ML-RO-2023-010,QC-2023-010,CT-2022-010,SR-2024-010,91,2024-02-25,2024-08-25,Dr. Elena Popescu
PH011,Diabetes Monitor,ANM-2023-001244,2023-12-20,2028-12-20,Active,ML-RO-2023-011,QC-2023-011,CT-2022-011,SR-2024-011,94,2024-03-01,2024-09-01,Dr. Elena Popescu
PH012,Inhaler Pro,ANM-2023-001245,2024-01-10,2029-01-10,Active,ML-RO-2023-012,QC-2023-012,CT-2022-012,SR-2024-012,86,2024-03-05,2024-09-05,Dr. Elena Popescu
PH013,Blood Glucose Strips,ANM-2023-001246,2024-01-25,2029-01-25,Active,ML-RO-2023-013,QC-2023-013,CT-2022-013,SR-2024-013,88,2024-03-10,2024-09-10,Dr. Elena Popescu
PH014,Insulin Syringes,ANM-2023-001247,2024-02-05,2029-02-05,Active,ML-RO-2023-014,QC-2023-014,CT-2022-014,SR-2024-014,90,2024-03-15,2024-09-15,Dr. Elena Popescu
PH015,Cancer Screening Kit,ANM-2023-001248,2024-02-20,2029-02-20,Active,ML-RO-2023-015,QC-2023-015,CT-2022-015,SR-2024-015,97,2024-03-20,2024-09-20,Dr. Elena Popescu 